,PV(W),SOC(%),Battery(W),Meter(W),Load(W),MPP1(A),MPP2(A),MPP1(V),MPP2(V),IT1(°C)
2023-10-13 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-13 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-13 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-13 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-13 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-13 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-13 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-13 07:00:00,3001.42,22.75,4123.7300000000005,-1484.0,8609.15,0.26666666666666666,0.2916666666666667,393.94166666666666,263.10833333333335,17.075
2023-10-13 08:00:00,20208.97,26.916666666666668,-11594.05,-11.0,8625.92,1.2,2.983333333333333,535.5833333333334,355.2083333333333,30.09166666666667
2023-10-13 09:00:00,53059.09,29.916666666666668,6602.43,219.0,59442.52,2.0166666666666666,9.341666666666667,560.6333333333333,351.23333333333335,41.550000000000004
2023-10-13 10:00:00,75059.54000000001,46.5,-46229.49,640.0,28190.05,4.783333333333333,10.174999999999999,543.3333333333334,361.01666666666665,43.708333333333336
2023-10-13 11:00:00,96558.25,72.75,-44087.05,30261.0,22210.2,7.691666666666666,11.35,536.4166666666666,346.05833333333334,45.94166666666666
2023-10-13 12:00:00,114166.48,94.33333333333333,-39816.11,50153.0,24197.37,10.6,11.858333333333334,537.2333333333333,322.65000000000003,46.60833333333334
2023-10-13 13:00:00,121509.08,100.0,-26.65,105586.0,15896.43,12.208333333333334,11.216666666666667,533.3833333333333,324.59166666666664,47.15833333333333
2023-10-13 14:00:00,122378.52,99.91666666666667,-3401.8199999999997,107128.0,11848.699999999999,12.433333333333332,10.316666666666666,529.9666666666667,349.77500000000003,47.275
2023-10-13 15:00:00,93807.27,100.0,-80.58,81970.0,11756.69,10.941666666666668,6.2749999999999995,509.44166666666666,354.84999999999997,46.18333333333334
2023-10-13 16:00:00,54699.42,100.0,-53.32,46826.0,7820.1,8.258333333333335,2.6333333333333333,438.7166666666667,354.55,44.06666666666666
2023-10-13 17:00:00,17899.36,100.0,106.28,11553.0,6452.639999999999,2.733333333333333,0.8250000000000001,441.55833333333334,338.85833333333335,39.71666666666667
